Frequency (Hz)	Level (dB)
43.066406	-63.265984
86.132812	-52.112545
129.199219	-48.753155
172.265625	-50.501087
215.332031	-53.823097
258.398438	-55.257034
301.464844	-56.267918
344.531250	-53.575668
387.597656	-51.336830
430.664062	-46.198154
473.730469	-47.784149
516.796875	-51.675156
559.863281	-52.332680
602.929688	-48.616661
645.996094	-46.992245
689.062500	-51.801659
732.128906	-64.611656
775.195312	-60.294666
818.261719	-60.180439
861.328125	-63.208214
904.394531	-58.771503
947.460938	-58.668854
990.527344	-57.324123
1033.593750	-53.991207
1076.660156	-55.778023
1119.726562	-59.330421
1162.792969	-61.023830
1205.859375	-61.256836
1248.925781	-57.897038
1291.992188	-57.239460
1335.058594	-58.508446
1378.125000	-58.192307
1421.191406	-58.035645
1464.257812	-59.446301
1507.324219	-59.756172
1550.390625	-57.834576
1593.457031	-59.500965
1636.523438	-60.081509
1679.589844	-56.887615
1722.656250	-54.531517
1765.722656	-55.575363
1808.789062	-57.762398
1851.855469	-61.212246
1894.921875	-62.612141
1937.988281	-62.752758
1981.054688	-60.545616
2024.121094	-62.426491
2067.187500	-64.726517
2110.253906	-64.411247
2153.320312	-61.383270
2196.386719	-58.615192
2239.453125	-58.751213
2282.519531	-62.326012
2325.585938	-64.404861
2368.652344	-64.672676
2411.718750	-63.430660
2454.785156	-65.611496
2497.851562	-66.582809
2540.917969	-66.680756
2583.984375	-65.059517
2627.050781	-67.099106
2670.117188	-69.014381
2713.183594	-70.113785
2756.250000	-69.239960
2799.316406	-68.539955
2842.382812	-69.023125
2885.449219	-70.162422
2928.515625	-71.577698
2971.582031	-69.813972
3014.648438	-71.629913
3057.714844	-74.054420
3100.781250	-70.853836
3143.847656	-65.266960
3186.914062	-67.095062
3229.980469	-72.856361
3273.046875	-71.180267
3316.113281	-70.880180
3359.179688	-71.929199
3402.246094	-73.889381
3445.312500	-70.925926
3488.378906	-70.334999
3531.445312	-72.254944
3574.511719	-72.140778
3617.578125	-70.865318
3660.644531	-71.843887
3703.710938	-72.352356
3746.777344	-71.057106
3789.843750	-69.532661
3832.910156	-67.501991
3875.976562	-65.992493
3919.042969	-68.992996
3962.109375	-65.541115
4005.175781	-63.691586
4048.242188	-64.601135
4091.308594	-64.243805
4134.375000	-61.869453
4177.441406	-56.660084
4220.507812	-54.119160
4263.574219	-43.214886
4306.640625	-42.478077
4349.707031	-51.933750
4392.773438	-61.707520
4435.839844	-63.735458
4478.906250	-67.589233
4521.972656	-64.221512
4565.039062	-67.715836
4608.105469	-73.178848
4651.171875	-73.460190
4694.238281	-73.144958
4737.304688	-68.806885
4780.371094	-67.292915
4823.437500	-72.466492
4866.503906	-76.337303
4909.570312	-76.144020
4952.636719	-76.669540
4995.703125	-79.145538
5038.769531	-77.652786
5081.835938	-78.115295
5124.902344	-79.281578
5167.968750	-77.516785
5211.035156	-80.474670
5254.101562	-80.100456
5297.167969	-77.408363
5340.234375	-78.713760
5383.300781	-80.957390
5426.367188	-78.738724
5469.433594	-78.692207
5512.500000	-80.564377
5555.566406	-77.952446
5598.632812	-77.546227
5641.699219	-76.740654
5684.765625	-75.531693
5727.832031	-76.763046
5770.898438	-78.147476
5813.964844	-80.537804
5857.031250	-81.695244
5900.097656	-80.641090
5943.164062	-81.563591
5986.230469	-80.784126
6029.296875	-81.192635
6072.363281	-80.200958
6115.429688	-80.431496
6158.496094	-82.426208
6201.562500	-80.087364
6244.628906	-78.166985
6287.695312	-77.636726
6330.761719	-79.225449
6373.828125	-80.424728
6416.894531	-79.811722
6459.960938	-80.240288
6503.027344	-81.496208
6546.093750	-80.501305
6589.160156	-80.273514
6632.226562	-81.133598
6675.292969	-81.149185
6718.359375	-80.571587
6761.425781	-80.348473
6804.492188	-81.061371
6847.558594	-81.124664
6890.625000	-78.610405
6933.691406	-78.832031
6976.757812	-79.260712
7019.824219	-80.842461
7062.890625	-79.887192
7105.957031	-79.559097
7149.023438	-81.113434
7192.089844	-82.926857
7235.156250	-83.557343
7278.222656	-83.920929
7321.289062	-82.390518
7364.355469	-83.495842
7407.421875	-85.527283
7450.488281	-86.240036
7493.554688	-86.390221
7536.621094	-87.036575
7579.687500	-85.882088
7622.753906	-85.317436
7665.820312	-83.150948
7708.886719	-83.773102
7751.953125	-85.506683
7795.019531	-85.823753
7838.085938	-85.907654
7881.152344	-83.620995
7924.218750	-81.558403
7967.285156	-81.089127
8010.351562	-81.711197
8053.417969	-83.765915
8096.484375	-84.919006
8139.550781	-86.622917
8182.617188	-87.033966
8225.683594	-87.293961
8268.750000	-86.458054
8311.816406	-84.527092
8354.882812	-84.640892
8397.949219	-84.999611
8441.015625	-84.793289
8484.082031	-85.285271
8527.148438	-82.368492
8570.214844	-75.461617
8613.281250	-74.901711
8656.347656	-81.621880
8699.414062	-86.074432
8742.480469	-87.822769
8785.546875	-86.136253
8828.613281	-85.493607
8871.679688	-86.145569
8914.746094	-87.847153
8957.812500	-89.628365
9000.878906	-90.184418
9043.945312	-88.327438
9087.011719	-88.035545
9130.078125	-88.579712
9173.144531	-88.273201
9216.210938	-86.604988
9259.277344	-84.775032
9302.343750	-86.788284
9345.410156	-87.582253
9388.476562	-91.800888
9431.542969	-91.894234
9474.609375	-90.598610
9517.675781	-90.938210
9560.742188	-92.892372
9603.808594	-91.585365
9646.875000	-87.693871
9689.941406	-89.030365
9733.007812	-91.132812
9776.074219	-90.575043
9819.140625	-90.938820
9862.207031	-88.599113
9905.273438	-88.160789
9948.339844	-89.273903
9991.406250	-91.880508
10034.472656	-92.931290
10077.539062	-92.000237
10120.605469	-91.727036
10163.671875	-91.688004
10206.738281	-90.329735
10249.804688	-89.625298
10292.871094	-89.092262
10335.937500	-91.117142
10379.003906	-92.090210
10422.070312	-93.277519
10465.136719	-94.220322
10508.203125	-93.376457
10551.269531	-93.165611
10594.335938	-92.551697
10637.402344	-93.487167
10680.468750	-94.578712
10723.535156	-92.511314
10766.601562	-91.007156
10809.667969	-92.430939
10852.734375	-91.240227
10895.800781	-89.679993
10938.867188	-91.673721
10981.933594	-91.075478
